[高清]央视,#genre#
CGTN 西班牙语[高清],http://192.168.0.1:8012/rtp/239.3.1.217:4220
CGTN 法语[高清],http://192.168.0.1:8012/rtp/239.3.1.218:4220
CGTN 阿拉伯语[高清],http://192.168.0.1:8012/rtp/239.3.1.219:4220
CGTN 俄语[高清],http://192.168.0.1:8012/rtp/239.3.1.220:4220
纪实人文[高清],http://192.168.0.1:8012/rtp/239.3.1.212:8060
[高清]北京IPTV;少儿,#genre#
北京IPTV淘Baby[高清],http://192.168.0.1:8012/rtp/239.3.1.238:8001
央视,#genre#
CCTV-1综合,http://192.168.0.1:8012/rtp/239.3.1.1:8000
CCTV-2财经,http://192.168.0.1:8012/rtp/239.3.1.2:8004
CCTV-3综艺,http://192.168.0.1:8012/rtp/239.3.1.107:8001
CCTV-4中文国际,http://192.168.0.1:8012/rtp/239.3.1.4:8216
CCTV-5体育,http://192.168.0.1:8012/rtp/239.3.1.108:8001
CCTV-6电影,http://192.168.0.1:8012/rtp/239.3.1.109:8001
CCTV-7国防军事,http://192.168.0.1:8012/rtp/239.3.1.7:8024
CCTV-8电视剧,http://192.168.0.1:8012/rtp/239.3.1.110:8001
CCTV-9纪录,http://192.168.0.1:8012/rtp/239.3.1.9:8032
CCTV-10科教,http://192.168.0.1:8012/rtp/239.3.1.10:8228
CCTV-11戏曲,http://192.168.0.1:8012/rtp/239.3.1.11:8040
CCTV-12社会与法,http://192.168.0.1:8012/rtp/239.3.1.12:8232
CCTV-13新闻,http://192.168.0.1:8012/rtp/239.3.1.13:8048
CCTV-14少儿,http://192.168.0.1:8012/rtp/239.3.1.14:8236
CCTV-15音乐,http://192.168.0.1:8012/rtp/239.3.1.15:8052
CCTV-17农业农村,http://192.168.0.1:8012/rtp/239.3.1.150:8064
卫视;北京,#genre#
BRTV北京卫视,http://192.168.0.1:8012/rtp/239.3.1.225:8000
北京,#genre#
BRTV文艺,http://192.168.0.1:8012/rtp/239.3.1.226:8000
BRTV科教,http://192.168.0.1:8012/rtp/239.3.1.227:8000
BRTV影视,http://192.168.0.1:8012/rtp/239.3.1.228:8000
BRTV财经,http://192.168.0.1:8012/rtp/239.3.1.229:8000
BRTV冬奥纪实,http://192.168.0.1:8012/rtp/239.3.1.230:8000
BRTV生活,http://192.168.0.1:8012/rtp/239.3.1.231:8000
BRTV青年,http://192.168.0.1:8012/rtp/239.3.1.232:8000
BRTV新闻,http://192.168.0.1:8012/rtp/239.3.1.233:8000
BRTV国际频道,http://192.168.0.1:8012/rtp/239.3.1.235:8000
北京;少儿,#genre#
BRTV卡酷少儿,http://192.168.0.1:8012/rtp/239.3.1.234:8000
卫视,#genre#
东方卫视,http://192.168.0.1:8012/rtp/239.3.1.34:8192
东南卫视,http://192.168.0.1:8012/rtp/239.3.1.36:8112
南方卫视,http://192.168.0.1:8012/rtp/239.3.1.161:8001
广西卫视,http://192.168.0.1:8012/rtp/239.3.1.39:8300
海南卫视,http://192.168.0.1:8012/rtp/239.3.1.45:8304
深圳卫视,http://192.168.0.1:8012/rtp/239.3.1.32:9244
厦门卫视,http://192.168.0.1:8012/rtp/239.3.1.143:4120
广东卫视,http://192.168.0.1:8012/rtp/239.3.1.38:8132
江西卫视,http://192.168.0.1:8012/rtp/239.3.1.30:8280
云南卫视,http://192.168.0.1:8012/rtp/239.3.1.26:8108
西藏卫视,http://192.168.0.1:8012/rtp/239.3.1.47:8164
贵州卫视,http://192.168.0.1:8012/rtp/239.3.1.31:8120
重庆卫视,http://192.168.0.1:8012/rtp/239.3.1.35:8296
湖北卫视,http://192.168.0.1:8012/rtp/239.3.1.33:8136
湖南卫视,http://192.168.0.1:8012/rtp/239.3.1.18:8268
安徽卫视,http://192.168.0.1:8012/rtp/239.3.1.21:8272
山东卫视,http://192.168.0.1:8012/rtp/239.3.1.25:8148
江苏卫视,http://192.168.0.1:8012/rtp/239.3.1.20:8276
浙江卫视,http://192.168.0.1:8012/rtp/239.3.1.19:8284
四川卫视,http://192.168.0.1:8012/rtp/239.3.1.29:8288
河南卫视,http://192.168.0.1:8012/rtp/239.3.1.27:8128
陕西卫视,http://192.168.0.1:8012/rtp/239.3.1.41:8140
新疆卫视,http://192.168.0.1:8012/rtp/239.3.1.48:8160
宁夏卫视,http://192.168.0.1:8012/rtp/239.3.1.46:8124
青海卫视,http://192.168.0.1:8012/rtp/239.3.1.44:8184
甘肃卫视,http://192.168.0.1:8012/rtp/239.3.1.49:8188
山西卫视,http://192.168.0.1:8012/rtp/239.3.1.42:8172
河北卫视,http://192.168.0.1:8012/rtp/239.3.1.37:8292
天津卫视,http://192.168.0.1:8012/rtp/239.3.1.23:8144
内蒙古卫视,http://192.168.0.1:8012/rtp/239.3.1.43:8176
辽宁卫视,http://192.168.0.1:8012/rtp/239.3.1.24:8116
黑龙江卫视,http://192.168.0.1:8012/rtp/239.3.1.28:8196
吉林卫视,http://192.168.0.1:8012/rtp/239.3.1.40:8200
三沙卫视,http://192.168.0.1:8012/rtp/239.3.1.155:4120
兵团卫视,http://192.168.0.1:8012/rtp/239.3.1.144:4120
北京IPTV,#genre#
山东教育,http://192.168.0.1:8012/rtp/239.3.1.52:4120
中国教育1台,http://192.168.0.1:8012/rtp/239.3.1.146:4120
中国教育2台,http://192.168.0.1:8012/rtp/239.3.1.54:4120
中国教育3台,http://192.168.0.1:8012/rtp/239.3.1.55:4120
中国教育4台,http://192.168.0.1:8012/rtp/239.3.1.56:4120
IPTV魅力时尚,http://192.168.0.1:8012/rtp/239.3.1.196:9012
IPTV热播剧场,http://192.168.0.1:8012/rtp/239.3.1.194:9020
IPTV收视指南,http://192.168.0.1:8012/rtp/239.3.1.193:8012
IPTV经典电影,http://192.168.0.1:8012/rtp/239.3.1.195:9024
城市剧场,http://192.168.0.1:8012/rtp/239.3.1.67:4120
军旅剧场,http://192.168.0.1:8012/rtp/239.3.1.68:4120
古装剧场,http://192.168.0.1:8012/rtp/239.3.1.69:4120
武侠剧场,http://192.168.0.1:8012/rtp/239.3.1.90:4120
喜剧影院,http://192.168.0.1:8012/rtp/239.3.1.91:4120
动作影院,http://192.168.0.1:8012/rtp/239.3.1.92:4120
家庭影院,http://192.168.0.1:8012/rtp/239.3.1.93:4120
音乐现场,http://192.168.0.1:8012/rtp/239.3.1.70:4120
财富天下,http://192.168.0.1:8012/rtp/239.3.1.53:9136
CGTN,http://192.168.0.1:8012/rtp/239.3.1.16:8056
地理,http://192.168.0.1:8012/rtp/239.3.1.71:4120
美妆,http://192.168.0.1:8012/rtp/239.3.1.72:4120
美人,http://192.168.0.1:8012/rtp/239.3.1.73:4120
精选,http://192.168.0.1:8012/rtp/239.3.1.74:4120
解密,http://192.168.0.1:8012/rtp/239.3.1.75:4120
军事,http://192.168.0.1:8012/rtp/239.3.1.76:4120
国学,http://192.168.0.1:8012/rtp/239.3.1.77:4120
戏曲,http://192.168.0.1:8012/rtp/239.3.1.78:4120
鉴赏,http://192.168.0.1:8012/rtp/239.3.1.82:4120
墨宝,http://192.168.0.1:8012/rtp/239.3.1.83:4120
光影,http://192.168.0.1:8012/rtp/239.3.1.84:4120
台球,http://192.168.0.1:8012/rtp/239.3.1.85:4120
武术,http://192.168.0.1:8012/rtp/239.3.1.87:4120
高网,http://192.168.0.1:8012/rtp/239.3.1.88:4120
足球,http://192.168.0.1:8012/rtp/239.3.1.89:4120
星影,http://192.168.0.1:8012/rtp/239.3.1.94:4120
爱生活,http://192.168.0.1:8012/rtp/239.3.1.86:4120
聚鲨健康,http://192.168.0.1:8012/rtp/239.3.1.186:8001
聚鲨生活,http://192.168.0.1:8012/rtp/239.3.1.187:8001
聚鲨国际,http://192.168.0.1:8012/rtp/239.3.1.188:8001
北京IPTV;少儿,#genre#
IPTV少儿动画,http://192.168.0.1:8012/rtp/239.3.1.199:9000
金鹰卡通,http://192.168.0.1:8012/rtp/239.3.1.51:9252
嘉佳卡通,http://192.168.0.1:8012/rtp/239.3.1.147:9268
早教,http://192.168.0.1:8012/rtp/239.3.1.79:4120
动画,http://192.168.0.1:8012/rtp/239.3.1.80:4120
好学生,http://192.168.0.1:8012/rtp/239.3.1.81:4120
其它,#genre#
香港電台視像新聞直播,https://rthkcnews-lh.akamaihd.net/i/rthknews_1@312607/index_190000011_av-b.m3u8
香港電台普通話台,https://rthkaudio6-lh.akamaihd.net/i/radiopth_1@355869/index_56_a-p.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
鳳凰衛視中文台,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
鳳凰衛視資訊台,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
鳳凰衛視香港台,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
賽馬直擊,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-HR-NO/02.m3u8
陽光衛視,https://stream.isuntv.com/680k/mid_video_index.m3u8
亞旅衛視,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
澳門有線 CH1,http://202.175.127.77/live/show/ch1/index.m3u8
澳門互動新聞台,http://202.175.127.77/live/show/ch2/index.m3u8
澳門有線 CH3,http://202.175.127.77/live/show/ch3/index.m3u8
中視新聞 HD,http://seb.sason.top/sc/zsxw_fhd.m3u8
華視新聞資訊 HD,http://seb.sason.top/sc/hsxw_fhd.m3u8
台視新聞 HD,http://seb.sason.top/sc/tsxw_fhd.m3u8
民視新聞台 HD,http://seb.sason.top/sc/msxw_fhd.m3u8
中天新聞 HD,http://seb.sason.top/sc/ztxw_fhd.m3u8
東森新聞 HD,http://seb.sason.top/sc/dsxw_fhd.m3u8
東森財經新聞 HD,http://seb.sason.top/sc/dscjxw_fhd.m3u8
TVBS新聞台 HD,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
大愛1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
新唐人亞太台,https://live.ntdimg.com/aplive200/playlist.m3u8
新唐人美東台,https://live.ntdimg.com/live400/playlist.m3u8
